"Order","Family","Genus","GenSp","Status"
"COLEOPTERA","Chrysomelidae","Lema","Lema trilinea","adv"
"COLEOPTERA","Chrysomelidae","Pagria","Pagria signata","adv"
"COLEOPTERA","Ciidae","Apterocis","Apterocis montanus","end"
"COLEOPTERA","Ciidae","Apterocis","Apterocis rufonotatus","end"
"COLEOPTERA","Ciidae","Apterocis","Apterocis subaeneus","end"
"COLEOPTERA","Ciidae","Cis","Cis bimaculatus","end"
"COLEOPTERA","Ciidae","Cis","Cis calidus","end"
"COLEOPTERA","Ciidae","Cis","Cis chloroticus","end"
"COLEOPTERA","Ciidae","Cis","Cis cognatissimus","end"
"COLEOPTERA","Ciidae","Cis","Cis fuscipes","adv"
"COLEOPTERA","Ciidae","Cis","Cis insularis","end"
"COLEOPTERA","Ciidae","Cis","Cis insulicola","end"
"COLEOPTERA","Ciidae","Cis","Cis laeticulus","end"
"COLEOPTERA","Ciidae","Cis","Cis mimus","end"
"COLEOPTERA","Ciidae","Cis","Cis nudipennis","end"
"COLEOPTERA","Ciidae","Cis","Cis pacificus","end"
"COLEOPTERA","Ciidae","Cis","Cis roridus","end"
"COLEOPTERA","Ciidae","Cis","Cis tabidus","end"
"COLEOPTERA","Cleridae","Necrobia","Necrobia ruficollis","adv"
"COLEOPTERA","Cleridae","Necrobia","Necrobia rufipes","adv"
"COLEOPTERA","Cleridae","Thaneroclerus","Thaneroclerus buqueti","adv"
"COLEOPTERA","Coccinellidae","Azya","Azya orbigera","adv"
"COLEOPTERA","Coccinellidae","Scymnus","Scymnus ocellatus","adv"
"","Coccinellidae","Scymnus","Scymnus vividus (poss jr syn)","adv"
"COLEOPTERA","Zopheridae","Antilissus","Antilissus aper","end"
"COLEOPTERA","Zopheridae","Colobicus","Colobicus parilis","adv"
"COLEOPTERA","Curculionidae","Acalles","Acalles angusticollis","end"
"COLEOPTERA","Curculionidae","Acalles","Acalles frater","end"
"COLEOPTERA","Curculionidae","Acalles","Acalles lateralis","end"
"COLEOPTERA","Curculionidae","Acalles","Acalles leptothorax","end"
"COLEOPTERA","Curculionidae","Acalles","Acalles pallidicollis","end"
"COLEOPTERA","Curculionidae","Anthonomus","Anthonomus eugenii","adv"
"COLEOPTERA","Curculionidae","Pantomorus","Pantomorus cervinus","adv"
"COLEOPTERA","Curculionidae","Cosmopolites","Cosmopolites sordidus","adv"
"COLEOPTERA","Curculionidae","Dryophthorus","Dryophthorus crassus","end"
"COLEOPTERA","Curculionidae","Dryophthorus","Dryophthorus declivis","end"
"COLEOPTERA","Curculionidae","Dryophthorus","Dryophthorus distinguendus","end"
"COLEOPTERA","Curculionidae","Dryophthorus","Dryophthorus gravidus","end"
"COLEOPTERA","Curculionidae","Dryophthorus","Dryophthorus homoeorhynchus","end"
